,mean_conf,min_conf,std_conf,words_count,char_count,num_text_lines,num_text_blocks,low_conf_ratio,text_density,handwriting_ocr,detected_lang,detected_lang_conf,text_area,mean_orientation,relative_label_centroid_x,relative_label_centroid_y,resolution,laplacian,contrast,brightness,noise,noise_sigma,background_uniformity,overlapped_label_area,number_of_labels,label_coordinates,mean_label_width,mean_label_height,label_spread,areas,handwritten_flag
B101178762,62.8841776744186,0.0,32.3014703319486,43,137.0,22,4,0.27906976744186046,0.05462314681970349,0.0,en,43.999782538505535,228434,0.23487257013894466,0.47441176470588237,0.8432926829268292,4.182,291.0438612235254,43.23701602914045,216.36742754662842,4.567002391200383,0.23498303570634554,9.956547369495137,0.016147943300261182,1,"[(26, 1993, 845, 2446)]",819.0,453.0,0.0,371007.0,0.0
B101178790,80.6368241025641,0.0,24.68833281962982,78,341.0,13,6,0.11538461538461539,0.03107970564342715,0.0,en,239.99924467535232,130081,0.1989697575682759,0.46205882352941174,0.8962225832656376,4.1854,280.4363372407633,40.20022442966367,227.34566301906628,1.7837499402685526,0.09266263865659835,5.699532177648909,0.0,1,"[(33, 1940, 777, 2447)]",744.0,507.0,0.0,377208.0,0.0
B101178815,64.50556341250001,0.0,32.591945379801174,80,392.0,27,16,0.2875,0.09083845657010263,0.0,de,201.42765955325206,379732,0.21960893046720695,0.4582352941176471,0.8509556730378203,4.1803,592.6027818039051,53.852961928794464,206.2549577781499,6.887566203382533,0.43848431408642663,12.032132606400713,0.004963418127742031,1,"[(22, 1964, 693, 2427)]",671.0,463.0,0.0,310673.0,0.0
B101178824,79.37532680597015,0.0,27.429625026438078,67,326.0,16,9,0.14925373134328357,0.031068237205523964,0.0,en,161.9996596966749,130033,0.2902384660959625,0.4535294117647059,0.8956133225020309,4.1854,441.3403917977253,49.84268280474546,212.2447995412625,6.363610168681608,0.3706505546263941,11.067957179216709,0.0,1,"[(403, 2030, 860, 2450)]",457.0,420.0,0.0,191940.0,0.0
B101178846,72.53269484615384,26.389343,27.346863435599822,13,40.0,3,2,0.3076923076923077,0.0,0.0,nl,38.99981108936112,0,0.0,0.5,0.5,4.182,301.4135706445948,47.756942463599074,206.22699426111907,6.024060975609756,0.29616391703668105,13.863966066808924,6.948787436592315e-06,1,"[(11, 2214, 626, 2448)]",615.0,234.0,0.0,143910.0,0.0
B101178886,60.49630117857142,0.0,36.47762034129479,56,288.0,16,9,0.39285714285714285,0.027051900305576776,0.0,de,124.9996307808561,113315,0.2678718112492614,0.46176470588235297,0.8902191558441559,4.1888,237.02334410978435,41.03861526009593,226.31058584797555,2.3681548414820472,0.16049639811662247,6.5847670926945705,0.0,1,"[(9, 2158, 534, 2450)]",525.0,292.0,0.0,153300.0,0.0
B101178917,53.485243837209296,0.0,35.21229332559301,43,165.0,10,6,0.5116279069767442,0.047890351608065325,0.0,de,20.71418445608428,201173,0.32804807114372225,0.4688235294117647,0.8500607041683529,4.2007,272.205325714478,42.97542218930839,215.82229961673053,4.274833480134263,0.32099279623325394,8.998549392917818,0.0,1,"[(13, 2096, 586, 2460)]",573.0,364.0,0.0,208572.0,0.0
B101178924,72.2385194054054,1.106201,31.960717813595426,37,209.0,13,9,0.21621621621621623,0.07697233239355857,0.0,de,140.99939906569867,322160,0.29307473166428644,0.455,0.8300162469536961,4.1854,320.775508712383,44.61141389146648,221.15513308166484,3.326685382520189,0.1853252773131999,8.958534666913733,0.0,1,"[(26, 2060, 612, 2443)]",586.0,383.0,0.0,224438.0,0.0
B101178933,37.98569447272727,0.0,30.399020794313792,55,182.0,16,9,0.7090909090909091,0.029157819225251076,1.0,pl,22.857030442998706,121938,0.35569553920763725,0.4576470588235294,0.8916666666666667,4.182,262.37957138674847,40.067866478871544,220.36403969392634,3.3530114777618363,0.20350127838007911,8.43098320139573,0.0,1,"[(8, 1962, 602, 2445)]",594.0,483.0,0.0,286902.0,0.0
B101178975,38.28337297560976,0.0,32.9145619908069,41,166.0,8,5,0.7317073170731707,0.0935325266562837,1.0,de,32.99989623399429,390358,0.3502653128671094,0.46558823529411764,0.8215885947046844,4.1735,319.49961463590984,42.633860834887166,215.40868335929076,4.194102791422067,0.2531590367732268,12.243926463689824,0.0,1,"[(28, 1970, 705, 2423)]",677.0,453.0,0.0,306681.0,0.0
B101178985,53.00899576923077,0.0,32.94607742398342,39,178.0,8,5,0.48717948717948717,0.022226822380701672,0.0,en,68.99975437961012,92877,0.19153980364300385,0.46147058823529413,0.9347030105777054,4.1786,236.81990561178975,41.74590584333989,216.81717321590963,3.6005791413392045,0.2531590367732212,8.587611247177685,0.0,1,"[(12, 2174, 641, 2441)]",629.0,267.0,0.0,167943.0,0.0
B101178999,69.11134349999999,0.0,33.990927828727386,48,241.0,10,5,0.2916666666666667,0.05722372031977091,0.0,en,191.2846467374943,239796,0.21835054348837316,0.4597058823529412,0.9024340770791075,4.1905,310.4050328897321,41.82665380351814,213.02585801217037,5.494047965636559,0.39547943382295364,9.836480660837562,0.0,1,"[(22, 2167, 720, 2442)]",698.0,275.0,0.0,191950.0,0.0
B101179003,83.16500269333335,0.517853,21.166312135712435,75,386.0,11,4,0.09333333333333334,0.029943920773177424,0.0,fr,315.85596884769785,125480,0.20244469772964735,0.46647058823529414,0.9154158215010142,4.1905,421.37698001537115,50.891230099109414,211.82307552797997,5.765073380264885,0.31612255142576734,10.520185582001169,0.004889572967748864,1,"[(3, 2003, 617, 2458)]",614.0,455.0,0.0,279370.0,0.0
B101179062,66.79065129411765,0.0,31.916133293831795,34,126.0,10,8,0.3235294117647059,0.015319204854972046,0.0,de,20.71418445608428,64117,0.25604174475195757,0.46441176470588236,0.8608854589764419,4.1854,379.1520585020601,51.59322706221279,213.20481507143882,5.136365699813638,0.1604963981166401,8.878017144650425,0.0,1,"[(27, 2250, 477, 2435)]",450.0,185.0,0.0,83250.0,0.0
B101179066,65.0975262,0.0,33.05800389187503,30,128.0,9,7,0.3,0.06574072747247499,0.0,zz,0.0,275263,0.18467842544702218,0.4547058823529412,0.904993909866017,4.1871,331.7557616483651,49.9398029301541,214.5819261541401,4.902255976690311,0.22167727944695928,9.960928618292442,0.00423241288625904,1,"[(26, 2110, 806, 2422)]",780.0,312.0,0.0,243360.0,0.0
B101179069,78.76655810975609,0.0,25.2709714984603,82,406.0,16,9,0.13414634146341464,0.0,0.0,ca,111.4282800939828,0,0.0,0.5,0.5,4.1905,291.87594937979424,44.16466730486362,218.66550244600882,3.460306884619974,0.17867239918350983,8.588977301327297,0.0,1,"[(4, 2037, 811, 2453)]",807.0,416.0,0.0,335712.0,0.0
B101179075,72.42688371929825,0.0,29.57349411102277,57,305.0,15,13,0.22807017543859648,0.009872413628327041,0.0,de,55.7141821057208,41320,0.28461050931633075,0.47941176470588237,0.8870836718115354,4.1854,265.5443373909377,34.85409029570077,197.32532947866392,7.245889520714866,0.519623829805826,15.45048504663657,0.008653350539705711,1,"[(224, 166, 1027, 497)]",803.0,331.0,0.0,265793.0,0.0
B101179106,68.62582392857144,0.0,35.72347783337662,14,50.0,2,1,0.21428571428571427,0.09312873321546328,0.0,en,62.99971918504419,389781,0.3679966259182998,0.4758823529411765,0.8279853777416735,4.1854,369.19350937656117,45.487632078521905,209.00762507765089,6.04446146127013,0.32099279623326116,13.741503949855169,0.0,1,"[(62, 2073, 622, 2420)]",560.0,347.0,0.0,194320.0,0.0
B101179146,69.32286538297872,0.0,31.471226675566392,47,233.0,11,3,0.2765957446808511,0.0304597673753456,0.0,en,194.99934796511394,127797,0.18424137493899892,0.4582352941176471,0.911871961102107,4.1956,274.890355827551,44.242901168630496,222.83924611497758,3.2207569835065306,0.1356675189200483,8.305792735913903,0.0,1,"[(6, 2019, 616, 2451)]",610.0,432.0,0.0,263520.0,0.0
B101179167,0.0,0.0,0.0,0,0.0,0,0,0.0,0.03408550955793082,0.0,zz,0.0,143183,0.3970710482707641,0.4626470588235294,0.8561311210036423,4.2007,343.32785893945976,44.4695671330509,213.58099459613874,5.418253624395934,0.3209927962332701,11.694603589515554,0.010012323717859354,1,"[(32, 1882, 810, 2343)]",778.0,461.0,0.0,358658.0,0.0
