,number_of_labels,mean_label_width,mean_label_height,label_spread,areas,handwritten_flag
B100671502,0.3333333333333333,0.38325991189427316,0.23990107172300082,0.0,0.0999941544674088,0.0
B100671607,0.3333333333333333,0.25462555066079295,0.1368507831821929,0.0,0.03789642980147308,0.0
B100671649,0.3333333333333333,0.39647577092511016,0.26215993404781535,0.0,0.11303996132469249,0.0
B100671652,0.3333333333333333,0.39383259911894275,0.24319868095630667,0.0,0.10416502096492365,0.0
B100671735,0.3333333333333333,0.35594713656387666,0.21929101401483925,0.0,0.08488977221381379,0.0
B100671784,0.3333333333333333,0.36916299559471366,0.2852431986809563,0.0,0.1145203029565756,0.0
B100671847,0.3333333333333333,0.4246696035242291,0.27040395713107995,0.0,0.124885854127104,0.0
B100671894,0.3333333333333333,0.40969162995594716,0.2407254740313273,0.0,0.10725762368041052,0.0
B100671915,0.3333333333333333,0.2960352422907489,0.14756801319043694,0.0,0.04750996110351017,0.0
B100671937,0.3333333333333333,0.360352422907489,0.247320692497939,0.0,0.09692524985702144,0.0
B100671939,0.3333333333333333,0.39911894273127757,0.3107996702390767,0.0,0.13490620290001612,0.0
B100672071,0.3333333333333333,0.3876651982378855,0.23907666941467437,0.0,0.10079594035660909,0.0
B100672263,0.3333333333333333,0.3903083700440529,0.2341302555647156,0.0,0.09938353329267792,0.0
B100672508,0.3333333333333333,0.3814977973568282,0.2333058532563891,0.0,0.0967980700263207,0.0
B100672577,0.3333333333333333,0.307488986784141,0.18384171475680133,0.0,0.06147841418600169,0.0
B100672598,0.6666666666666666,0.3537444933920705,0.17394888705688377,0.13142477965338764,0.13354277191995728,0.0
B100672614,0.3333333333333333,0.3955947136563877,0.22341302555647155,0.0,0.09611872434680124,0.0
B100672629,0.3333333333333333,0.33568281938325994,0.14756801319043694,0.0,0.05387290232273028,0.0
B100672769,0.3333333333333333,0.3770925110132159,0.2333058532563891,0.0,0.09568030940246018,0.0
B100672797,0.3333333333333333,0.34273127753303967,0.27782357790601814,0.0,0.10355518972702943,0.0
B100672855,0.3333333333333333,0.520704845814978,0.3462489694971146,0.0,0.1960781215933974,0.0
B100674091,0.3333333333333333,0.6061674008810573,0.38582028029678483,0.0,0.25434702241208795,0.0
B100675446,0.3333333333333333,0.5515418502202644,0.4517724649629019,0.0,0.27098625193929493,0.0
B100675540,0.3333333333333333,0.547136563876652,0.44847485572959606,0.0,0.2668596219046325,0.0
B100675545,0.3333333333333333,0.5488986784140969,0.4517724649629019,0.0,0.26968759577984147,0.0
B100676884,0.6666666666666666,0.45859030837004405,0.325638911788953,0.0862004055646448,0.33672637535902633,0.0
B100677105,0.3333333333333333,0.5559471365638767,0.45094806265457543,0.0,0.27265222872779094,0.0
B100677132,0.3333333333333333,0.5559471365638767,0.4517724649629019,0.0,0.27315067887171746,0.0
B100677144,0.3333333333333333,0.5541850220264317,0.4517724649629019,0.0,0.27228490809874845,0.0
B100677151,0.3333333333333333,0.5515418502202644,0.4542456718878813,0.0,0.2724697533185247,0.0
B100677244,0.3333333333333333,0.5533039647577093,0.45012366034624895,0.0,0.2708598620454309,0.0
B100677262,0.3333333333333333,0.5533039647577093,0.4517724649629019,0.0,0.27185202271226394,0.0
B100677382,0.3333333333333333,0.5559471365638767,0.4517724649629019,0.0,0.27315067887171746,0.0
B100679309,0.3333333333333333,0.5718061674008811,0.281121187139324,0.0,0.17482013138229469,0.0
B100679389,0.3333333333333333,0.5436123348017622,0.4451772464962902,0.0,0.2631911552352274,0.0
B100679393,0.3333333333333333,0.5453744493392071,0.4517724649629019,0.0,0.26795605423390345,0.0
B100679440,0.3333333333333333,0.5515418502202644,0.4517724649629019,0.0,0.27098625193929493,0.0
B100679445,0.3333333333333333,0.5568281938325992,0.44847485572959606,0.0,0.2715866039351494,0.0
B100681928,0.6666666666666666,0.27709251101321586,0.34295136026380874,0.23806506141523862,0.20076876652942832,0.0
B100685280,0.3333333333333333,0.5515418502202644,0.4517724649629019,0.0,0.27098625193929493,0.0
B100685281,0.3333333333333333,0.5585903083700441,0.43528441879637264,0.0,0.26443293594244205,0.0
B100685302,0.3333333333333333,0.5277533039647577,0.39076669414674364,0.0,0.22428360628284164,0.0
B100699168,0.6666666666666666,0.35550660792951544,0.21764220939818632,0.3560454996685386,0.16830552229043766,0.0
B100699196,0.3333333333333333,0.4308370044052864,0.3239901071723001,0.0,0.1518076914569911,0.0
B100699262,0.0,0.0,0.0,0.0,0.0,0.0
B100699305,0.3333333333333333,0.3656387665198238,0.2728771640560594,0.0,0.10850967356650162,0.0
B100699314,0.3333333333333333,0.3876651982378855,0.2407254740313273,0.0,0.10149108477286158,0.0
B100699327,0.3333333333333333,0.28634361233480177,0.22341302555647155,0.0,0.06957368688799644,0.0
B100699344,0.0,0.0,0.0,0.0,0.0,0.0
B100699345,0.3333333333333333,0.2607929515418502,0.3215169002473207,0.0,0.0911903084229385,0.0
B100699482,0.3333333333333333,0.38237885462555066,0.26215993404781535,0.0,0.10902076269981453,0.0
B100699535,0.0,0.0,0.0,0.0,0.0,0.0
B100699563,0.3333333333333333,0.3524229074889868,0.21434460016488047,0.0,0.08215343101165631,0.0
B100699609,0.0,0.0,0.0,0.0,0.0,0.0
B100699670,0.3333333333333333,0.30044052863436127,0.1170651277823578,0.0,0.03825032150429252,0.0
B100699694,0.0,0.0,0.0,0.0,0.0,0.0
B100699718,0.3333333333333333,0.2872246696035242,0.17724649629018963,0.0,0.05536667288083645,0.0
B100699729,0.0,0.0,0.0,0.0,0.0,0.0
B100699732,0.6666666666666666,0.45022026431718065,0.21929101401483925,0.36599652385522075,0.22616365595406993,0.0
B100699754,0.3333333333333333,0.5136563876651983,0.35696619950535863,0.0,0.19941086510722603,0.0
B100699861,0.3333333333333333,0.3903083700440529,0.23990107172300082,0.0,0.10183312742313125,0.0
B100699939,0.3333333333333333,0.4590308370044053,0.2885408079142622,0.0,0.14404498216322623,0.0
B100700057,0.3333333333333333,0.2986784140969163,0.11788953009068426,0.0,0.038293768030308296,0.0
B100700079,0.3333333333333333,0.36916299559471366,0.2802967848309975,0.0,0.11253440174923614,0.0
B100700138,0.3333333333333333,0.4581497797356828,0.2671063478977741,0.0,0.13308855823888321,0.0
B100700169,0.3333333333333333,0.3568281938325991,0.2926628194558945,0.0,0.1135731686894316,0.0
B100700206,0.3333333333333333,0.38502202643171807,0.23742786479802144,0.0,0.09941829051349055,0.0
B100700262,0.3333333333333333,0.35594713656387666,0.4682605111294312,0.0,0.18126838577987306,0.0
B100700273,0.3333333333333333,0.4828193832599119,0.29596042868920036,0.0,0.15540585374793434,0.0
B100700350,0.3333333333333333,0.39647577092511016,0.24649629018961253,0.0,0.10628600137133036,0.0
B100700382,0.3333333333333333,0.3876651982378855,0.2407254740313273,0.0,0.10149108477286158,0.0
B100700469,0.3333333333333333,0.36651982378854625,0.23495465787304204,0.0,0.0936549113532882,0.0
B100700478,0.3333333333333333,0.5277533039647577,0.3668590272052762,0.0,0.2105616134933851,0.0
B100700545,0.3333333333333333,0.4308370044052864,0.3058532563891179,0.0,0.14330955096830458,0.0
B100700604,0.0,0.0,0.0,0.0,0.0,0.0
B100700674,0.3333333333333333,0.3568281938325991,0.2679307502061006,0.0,0.10397543612412752,0.0
B100700681,0.0,0.0,0.0,0.0,0.0,0.0
B100700686,0.0,0.0,0.0,0.0,0.0,0.0
B100700700,0.3333333333333333,0.2140969162995595,0.15993404781533388,0.0,0.037239202353379824,0.0
B100700745,0.3333333333333333,0.39823788546255506,0.2967848309975268,0.0,0.12853852205977612,0.0
B100700903,0.3333333333333333,0.5110132158590308,0.3437757625721352,0.0,0.19105412331229996,0.0
B100700920,0.0,0.0,0.0,0.0,0.0,0.0
B100701054,0.3333333333333333,0.3656387665198238,0.25968672712283597,0.0,0.10326449297114204,0.0
B100701098,0.3333333333333333,0.3383259911894273,0.27782357790601814,0.0,0.10222414615727327,0.0
B100701124,0.3333333333333333,0.3629955947136564,0.10634789777411377,0.0,0.041983562994302975,0.0
B100701136,0.0,0.0,0.0,0.0,0.0,0.0
B100701210,0.3333333333333333,0.3709251101321586,0.247320692497939,0.0,0.0997690224689634,0.0
B100701227,0.3333333333333333,0.35330396475770925,0.2110469909315746,0.0,0.08109175590319799,0.0
B100701241,0.3333333333333333,0.36651982378854625,0.26875515251442705,0.0,0.10712807403919983,0.0
B100701268,0.3333333333333333,0.25462555066079295,0.3297609233305853,0.0,0.0913166983168026,0.0
B100701389,0.6666666666666666,0.4312775330396476,0.25968672712283597,0.17971417176866678,0.25916721698932954,0.0
